keyword,destination_url
shortlinks,https://github.com/hyphacoop/configurations/blob/master/hyphacoop/shortlinks/shortlinks.csv
keywords,https://link.hypha.coop/shortlinks
drive,https://drive.google.com/drive/u/0/folders/14KYnYwOEK3InYZ3jCn-Gtf5q430sE9oc
gdrive,https://link.hypha.coop/drive
loomio,https://loomio.hypha.coop
github,https://github.com/hyphacoop
gh,https://link.hypha.coop/github
handbook,https://handbook.hypha.coop/
chat,https://chat.tomesh.net/#/room/#hyphacoop-open:tomesh.net
glossary,https://handbook.hypha.coop/glossary.html
reading-pool,https://handbook.hypha.coop/reading-pool.html
roles,https://handbook.hypha.coop/roles.html
values,https://handbook.hypha.coop/vision.html#values
retreat-playbook,https://meetings.hypha.coop/2018-11-28-retreat-playbook.html
agm-2020,https://meetings.hypha.coop/2020-06-13-annual-members-meeting.html
linkedin,https://www.linkedin.com/company/hyphacoop/
cron,https://github.com/hyphacoop/worker-coop-scripts
scheduled-tasks,https://link.hypha.coop/cron
inventory,https://hackmd.io/@patcon/HyH0W9bAE
crm,https://docs.google.com/spreadsheets/d/1LyElXvLj7ASclSPQqcgOnuEWqBWBStilEfOhIosZzhA/edit#gid=1538436479
leads,https://app.hubspot.com/contacts/6514161/deals/board/view/all/?
opportunities,https://link.hypha.coop/crm
prospects,https://link.hypha.coop/crm
deals,https://link.hypha.coop/crm
conversions,https://docs.google.com/spreadsheets/d/1LyElXvLj7ASclSPQqcgOnuEWqBWBStilEfOhIosZzhA/edit#gid=30829554
slogans,https://hackmd.io/s/HkRaA_woE
chants,https://hackmd.io/s/Bk-BO6viN
twitter,https://twitter.com/hyphacoop
logs,https://circleci.com/gh/hyphacoop/worker-coop-scripts/tree/master
interviews,https://docs.google.com/spreadsheets/d/1vjnT0afFh-Ss1BCYZg7nuLyjwZqzRLsSzkhej_OdoFo/edit
schedules,https://www.when2meet.com/?8177574-eGR5V
working-open,https://handbook.hypha.coop/working-open.html
donations,https://docs.google.com/spreadsheets/d/1DpnzCpXWgQr66nFJFIlpa5XSBrt8IfZaLVZH0_q6kcA/edit#gid=2079904514
calendar,https://calendar.google.com/calendar/embed?src=s2224p8sptnujs736vplf9anjo@group.calendar.google.com
availability,https://calendar.google.com/calendar/embed?src=e2gv1tt0kkqq59c8jh7tgknvc8@group.calendar.google.com
facebook,https://www.facebook.com/hyphacoop/
fb,https://www.facebook.com/hyphacoop/
photos,https://drive.google.com/drive/u/0/folders/105SjE7YSlaIyhJvSw7aMnkfKjUtaXNcr
meetings,https://meetings.hypha.coop
tasks,https://github.com/orgs/hyphacoop/projects/2
new-task,https://github.com/hyphacoop/organizing/issues/new?template=task_template.md
teams,https://github.com/orgs/hyphacoop/teams/member-workers/teams
account-information,https://github.com/hyphacoop/organizing-private/blob/master/documents/finances/account-information.md
payments,https://github.com/hyphacoop/organizing-private/blob/master/documents/finances/payments.md
ref-taxes-export-services-ip,https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/4-5-3.html
ref-taxes-hst-ecommerce,https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/b-090.html
bank,https://accesd.affaires.mouv.desjardins.com/sommaire-affaires/sommaire/detention
qb,https://c5.qbo.intuit.com/app/homepage
cra,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account.html
wagepoint,https://wagepoint.com
transferwise,https://transferwise.com/ca/
